Probability,True_label
0.639816239,1
0.490992931,0
0.623814545,1
0.506616321,1
0.418301821,0
0.540665026,0
0.333361061,0
0.309166374,0
0.532530544,0
0.42343359,0
0.521916763,1
0.743298971,1
0.417497107,0
0.554352582,1
0.463867209,0
0.758784301,1
0.532429246,1
0.413642485,1
0.379254155,0
0.436572271,0
0.449132781,0
0.617142237,1
0.587257384,1
0.433065492,0
0.442715543,0
0.630752142,1
0.497104512,1
0.508553155,1
0.652765705,1
0.537644825,0
0.373786654,0
0.494532221,0
0.438732574,0
0.657171047,1
0.346871446,0
0.437408174,1
0.47272158,0
0.457259942,1
0.623441706,1
0.363705861,0
0.425102664,1
0.554612596,0
0.380346103,0
0.41227479,0
0.338183976,0
0.525634723,0
0.516313601,1
0.504914681,1
0.487002939,0
0.56697188,1
0.458105601,1
0.469317976,0
0.482020984,0
0.627960574,1
0.482248041,0
0.488240121,1
0.668573465,1
0.531457768,1
0.44550201,1
0.410741759,0
0.391519506,0
0.529068946,1
0.516734106,0
0.417168171,0
0.397591676,0
0.389391142,1
0.425941314,1
0.755667783,1
0.406478715,0
0.418915209,0
0.493870943,0
0.453505517,0
0.632286961,0
0.429617,1
0.69377532,0
0.539696227,1
0.501172513,0
0.440963436,1
0.579729791,0
0.515944267,1
0.470517674,0
0.580430284,0
0.545049323,1
0.466638208,1
0.447856293,0
0.597500901,1
0.506893338,0
0.441914989,0
0.337132455,0
0.611869901,1
0.397104905,0
0.596919181,1
0.601162827,1
0.411901517,1
0.519142858,0
0.851413933,1
0.3253393,0
0.616381097,1
0.524842867,0
0.385712278,1
0.665480074,1
0.381426625,0
0.415628818,0
0.413202536,0
0.531210461,1
0.416184277,0
0.493009927,0
0.599255526,1
0.387873208,0
0.440860896,0
0.447032667,1
0.493383805,1
0.33456132,1
0.371675427,0
0.510513367,0
0.470055879,0
0.391491928,1
0.646867899,1
0.430684938,1
0.421323687,1
0.582131454,1
0.483853508,0
0.409356342,1
0.56116828,1
0.596378711,0
0.451762642,0
0.49518292,0
0.492987155,0
0.404141021,0
0.574236242,1
0.570427456,0
0.531787143,0
0.373650253,1
0.196003827,0
0.621365577,1
0.384942334,0
0.587626635,1
0.551530331,1
0.451698108,0
0.361965345,1
0.468608796,1
0.579762156,1
0.557387306,0
0.366870258,0
0.431053637,0
0.450146498,1
0.47996006,0
0.744886378,1
0.535689155,1
0.578342462,0
0.488880572,1
0.424736123,1
0.650687587,1
0.513014345,0
0.499733294,0
0.43908127,1
0.508985346,0
0.524191269,0
0.547151406,0
0.534692746,0
0.56069961,1
0.55662863,1
0.410702666,1
0.569184021,0
0.548282638,1
0.548236071,1
0.676215514,1
0.451281044,0
0.722977031,1
0.492775265,1
0.451541835,0
0.342957211,0
0.761323212,1
0.34922983,0
0.524191269,0
0.337639572,0
0.691852762,1
0.476715326,1
0.688371198,1
0.449033076,0
0.503477992,0
0.419040577,0
0.571788124,0
0.335543611,0
0.523241416,1
0.458105601,0
0.364643122,1
0.462079174,0
0.59221825,1
0.581858097,0
0.646893598,1
0.372596137,0
0.45109622,1
0.448483069,1
0.388920184,1
0.638385115,1
0.496099396,1
0.657895397,1
0.400730986,0
0.528862898,1
0.331134182,0
0.699116709,1
0.524218109,1
0.652851759,1
0.505566655,1
0.578482187,1
0.471156091,0
0.737935435,1
0.623943464,0
0.592386386,0
0.499765004,1
0.474929337,0
0.518478958,0
0.461180623,1
0.409309011,0
0.519405647,0
0.36881946,0
0.569727638,0
0.66512672,1
0.483040046,0
0.713307201,1
0.349166159,0
0.477914746,0
0.484327626,1
0.4129311,1
0.625902303,1
0.522576873,1
0.42980711,1
0.608998955,1
0.509370925,1
0.381058179,0
0.192345975,0
0.449950021,1
0.640577052,1
0.482040028,0
0.582149699,1
0.492599321,0
0.654268559,1
0.42625174,1
0.661413214,1
0.435997775,0
0.493388781,0
0.697147393,1
0.408316561,1
0.579155105,1
0.534407713,0
0.506400717,1
0.622444773,1
0.655509702,1
0.483102655,0
0.552504398,0
0.498314594,0
0.575347349,0
0.860988783,1
0.432041218,0
0.375793748,0
0.513554089,1
0.708326869,1
0.469199533,1
0.482349214,1
0.578848493,1
0.518666945,1
0.442276167,0
0.45955621,0
0.579363428,1
0.446918917,0
0.663752138,1
0.553881269,1
0.497366434,1
0.630512831,0
0.511714573,0
0.379082581,1
0.39386383,0
0.669956613,1
0.307986363,0
0.370940042,0
0.675538851,1
0.371717955,0
0.432824168,0
0.599490533,0
0.591440394,1
0.47011545,0
0.510198365,0
0.367448541,0
0.452216273,0
0.52872785,1
0.527257127,1
0.630495572,1
0.593905465,1
0.576424019,1
0.2352417,0
0.499702872,0
0.42206569,0
0.473788738,0
0.498754314,1
0.623631935,0
0.579203375,1
0.417852051,0
0.481506334,1
0.690029134,1
0.345841513,0
0.562869367,1
0.432643112,0
0.452681994,1
0.489843248,0
0.693334003,1
0.336638924,0
0.46363761,1
0.661127247,1
0.685450192,1
0.51428994,0
0.647262525,1
0.594525143,1
0.458220194,0
0.485621759,0
0.465732905,1
0.517155172,0
0.529929007,0
0.728312787,1
0.318546414,0
0.446247816,0
0.382343412,0
0.561468615,0
0.473705347,0
0.479747648,0
0.493812119,0
0.613923971,1
0.458225237,1
0.473837134,0
0.382156791,0
0.422378351,0
0.590537913,1
0.506341311,0
0.627674696,1
0.326512061,0
0.403660635,1
0.491604703,1
0.428164723,0
0.561465657,1
0.423754862,0
0.526620528,0
0.547019222,0
0.525417182,1
0.481527551,0
0.589450527,0
0.393971915,0
0.468707935,1
0.527286362,1
0.470163765,0
0.42365044,1
0.407287313,0
0.644783984,1
0.462699645,0
0.54223298,0
0.493259063,0
0.302287038,0
0.422141022,1
0.42598881,0
0.54174191,1
0.415721491,0
0.572363626,1
0.480684448,0
0.639522072,1
0.43543385,0
0.534572786,1
0.712363658,0
0.334604162,0
0.364164412,0
0.481100605,1
0.57282461,1
0.640656715,1
0.62475024,1
0.407269291,0
0.566177555,0
0.446324924,0
0.435049998,1
0.462813073,1
0.406953928,0
0.699284678,1
0.677147723,1
0.423791332,1
0.58279568,0
0.475555933,0
0.374912065,0
0.521436285,0
0.487963669,1
0.404125294,0
0.519134212,1
0.341717295,1
0.6942119,1
0.479825858,0
0.471092107,0
0.492146577,1
0.458028081,0
0.380147867,0
0.453132328,1
0.585720987,1
0.526147598,1
0.544574219,0
0.548282638,1
0.530405243,1
0.404648031,0
0.535731737,0
0.457322396,1
0.388916394,0
0.397880906,0
0.485638811,0
0.352533096,0
0.416311011,0
0.564105835,0
0.441223981,0
0.402852421,0
0.353278021,1
0.712363658,1
0.566368779,0
0.575455405,1
0.474267042,0
0.468142597,1
0.418871922,1
0.501727011,0
0.510170464,1
0.639894397,1
0.410751363,1
0.404528585,0
0.57258426,1
0.474197757,1
0.448084091,1
0.551345907,1
0.55371668,0
0.562514651,1
0.685053622,1
0.605197973,1
0.558965296,1
0.631575676,1
0.261400201,1
0.489657134,0
0.481679468,1
0.582651547,1
0.382330045,0
0.740479543,1
0.733689582,1
0.42336014,1
0.318563817,0
0.690332458,1
0.376808416,0
0.329793437,0
0.471858112,0
0.590015827,1
0.365854372,0
0.428535679,0
0.397650212,1
0.345947577,0
0.263364373,0
0.538386105,1
0.562409947,0
0.732749485,1
0.33715166,1
0.635610668,1
0.406075818,1
0.36955355,1
0.383567397,1
